,詞頻
學校,8
退場,4
學年度,4
年度,4
招生,3
私立,3
今年,3
達,3
分發,3
大學,3
缺額,3
規定,3
未,3
預警,3
列為,3
教育部,3
人口,3
教育,3
國家發展委員會,3
新高,2
全部,2
停止,2
中等,2
退場條例,2
專輔,2
專案輔導學校,2
法人,2
高級,2
三讀,2
或是,2
期限,2
改善,2
名額,2
其中,2
分發入學,2
