,詞頻
大學,16
學生,11
私立,11
學校,9
教育,7
教育部,6
高中,5
退場,5
不足,5
專案輔導學校,4
問題,4
面臨,4
存續,4
惇敘,4
工商,4
科技,4
生源,4
進入,3
接受,3
私立高中職,3
財務,3
宗教,3
列入,3
台灣,3
惇敘工商,3
院校,3
大專院校,3
當前,3
學生數,3
20,2
將會,2
大同技術學院,2
大同,2
表示,2
新,2
