,詞頻
退場,29
私校,16
教育,11
校產,9
學校,9
公共,7
退場條例,7
大學,6
公立,6
法制,5
法制化,5
朝野,5
中小,5
年度,4
併,4
教育部,4
利益,4
董事,4
少子,4
子女,4
少子女化,4
攸關,3
減少,3
學年度,3
國民,3
高教,3
校,3
政策,3
完成,3
機制,3
不少,3
公益,3
中央,3
政府,3
協商,3
