,詞頻
私校,5
退場,4
教育,4
資源,3
私中,3
私立,2
辦學,2
政府,2
不,2
合格,2
合格教師,2
城鄉,1
衝擊,1
生存能力,1
能力,1
生存,1
考驗,1
冰河期,1
冰河,1
少子女化,1
子女,1
少子,1
不僅,1
表示,1
擴大,1
人才,1
技職人才,1
損失,1
培育,1
市場機制,1
重大,1
地方,1
一所,1
任何,1
落差,1
