,詞頻
學生,65
教育,29
退場,27
大學,26
學校,24
私校,20
教育部,18
社團,12
退場條例,10
學習,10
受教權,10
受教,10
權益,9
課程,8
各,8
老師,8
活動,8
台灣,7
把,7
說,7
畢業,7
稻江,7
教師,7
潘部長,7
一個,6
甚至,6
目前,6
工作,6
計畫,6
一些,5
當然,5
管理,5
董事,5
辦學,5
他們,5
